match_status,match_type,chords_page,chords_title,chords_file,melody_page,melody_title,melody_file
both,exact,34,BELIEVE_IT_BELOVED,34_02_BELIEVE_IT_BELOVED.png,62,BELIEVE_IT_BELOVED,62_01_BELIEVE_IT_BELOVED.png
both,exact,34,BEMSHA_SWING,34_03_BEMSHA_SWING.png,62,BEMSHA_SWING,62_02_BEMSHA_SWING.png
both,exact,34,BE_MY_LOVE,34_04_BE_MY_LOVE.png,63,BE_MY_LOVE,63_01_BE_MY_LOVE.png
both,exact,35,BERNIE_S_TUNE,35_01_BERNIE_S_TUNE.png,63,BERNIES_TUNE,63_02_BERNIES_TUNE.png
both,exact,35,BESAME_MUCHO,35_02_BESAME_MUCHO.png,64,BESAME_MUCHO,64_01_BESAME_MUCHO.png
both,exact,35,BESSIE_COULDN_T_HELP_IT,35_03_BESSIE_COULDN_T_HELP_IT.png,64,BESSIE_COULDN_T_HELP_IT,64_02_BESSIE_COULDN_T_HELP_IT.png
both,exact,35,BEST_THINGS_IN_LIFE_ARE_FREE_THE,35_04_BEST_THINGS_IN_LIFE_ARE_FREE_THE.png,65,BEST_THINGS_IN_LIFE_ARE_FREE,65_01_BEST_THINGS_IN_LIFE_ARE_FREE.png
both,exact,36,BETWEEN_THE_DEVIL_AND_THE_DEEP_BLUE_SEA,36_01_BETWEEN_THE_DEVIL_AND_THE_DEEP_BLUE_SEA.png,65,BETWEEN_THE_DEVIL_AND_THE_DEEP_BLUE_SEA,65_02_BETWEEN_THE_DEVIL_AND_THE_DEEP_BLUE_SEA.png
both,exact,36,BEWITCHED,36_02_BEWITCHED.png,66,BEWITCHED,66_01_BEWITCHED.png
both,exact,36,BEYOND_THE_BLUE_HORIZON,36_03_BEYOND_THE_BLUE_HORIZON.png,66,BEYOND_THE_BLUE_HORIZON,66_02_BEYOND_THE_BLUE_HORIZON.png
both,exact,37,BIDIN_MY_TIME,37_01_BIDIN_MY_TIME.png,67,BIDIN_MY_TIME,67_01_BIDIN_MY_TIME.png
both,exact,37,BIG_BUTTER_AND_EGG_MAN,37_02_BIG_BUTTER_AND_EGG_MAN.png,67,BIG_BUTTER_AND_EGG_MAN,67_02_BIG_BUTTER_AND_EGG_MAN.png
both,exact,37,BIG_NOISE_FROM_WINNETKA,37_03_BIG_NOISE_FROM_WINNETKA.png,68,BIG_NOISE_FROM_WINNETKA,68_01_BIG_NOISE_FROM_WINNETKA.png
both,exact,38,BILLIES_BOUNCE,38_01_BILLIES_BOUNCE.png,69,BILLIES_BOUNCE,69_01_BILLIES_BOUNCE.png
both,exact,38,BILL_BAILEY,38_01_BILL_BAILEY.png,68,BILL_BAILEY,68_02_BILL_BAILEY.png
both,exact,38,BIRD_FEATHERS,38_02_BIRD_FEATHERS.png,70,BIRD_FEATHERS,70_01_BIRD_FEATHERS.png
both,exact,38,BILLY_BOY,38_03_BILLY_BOY.png,69,BILLY_BOY,69_02_BILLY_BOY.png
both,exact,39,BIRKS_WORKS,39_01_BIRKS_WORKS.png,70,BIRKS_WORKS,70_02_BIRKS_WORKS.png
both,exact,39,BIRTH_OF_THE_BLUES,39_02_BIRTH_OF_THE_BLUES.png,71,BIRTH_OF_THE_BLUES,71_01_BIRTH_OF_THE_BLUES.png
both,exact,39,BLACK_AND_TAN_FANTASY,39_03_BLACK_AND_TAN_FANTASY.png,73,BLACK_AND_TAN_FANTASY,73_01_BLACK_AND_TAN_FANTASY.png
both,exact,40,BLACK_AND_BLUE,40_01_BLACK_AND_BLUE.png,72,BLACK_AND_BLUE,72_01_BLACK_AND_BLUE.png
both,exact,40,BLACK_BEAUTY,40_02_BLACK_BEAUTY.png,74,BLACK_BEAUTY,74_01_BLACK_BEAUTY.png
both,exact,40,BLACK_SNAKE_BLUES,40_03_BLACK_SNAKE_BLUES.png,78,BLACK_SNAKE_BLUES,78_01_BLACK_SNAKE_BLUES.png
both,exact,41,BLACK_BOTTOM,41_01_BLACK_BOTTOM.png,75,BLACK_BOTTOM,75_01_BLACK_BOTTOM.png
both,exact,41,BLACK_BOTTOM_STOMP,41_02_BLACK_BOTTOM_STOMP.png,76,BLACK_BOTTOM_STOMP,76_01_BLACK_BOTTOM_STOMP.png
both,exact,42,BLACK_COFFEE,42_01_BLACK_COFFEE.png,77,BLACK_COFFEE,77_01_BLACK_COFFEE.png
both,exact,42,BLUE,42_03_BLUE.png,82,BLUE,82_02_BLUE.png
both,exact,43,BLAME_IT_ON_THE_BLUES,43_01_BLAME_IT_ON_THE_BLUES.png,79,BLAME_IT_ON_THE_BLUES,79_01_BLAME_IT_ON_THE_BLUES.png
both,exact,43,BLUE_AGAIN,43_03_BLUE_AGAIN.png,82,BLUE_AGAIN,82_01_BLUE_AGAIN.png
both,exact,43,BLUE_AND_SENTIMENTAL,43_04_BLUE_AND_SENTIMENTAL.png,81,BLUE_AND_SENTIMENTAL,81_01_BLUE_AND_SENTIMENTAL.png
both,exact,44,BLUE_BECAUSE_OF_YOU,44_01_BLUE_BECAUSE_OF_YOU.png,81,BLUE_BECAUSE_OF_YOU,81_02_BLUE_BECAUSE_OF_YOU.png
both,exact,44,BLUEBERRY_HILL,44_02_BLUEBERRY_HILL.png,80,BLUEBERRY_HILL,80_01_BLUEBERRY_HILL.png
both,exact,44,BLUE_CHAMPAGNE,44_03_BLUE_CHAMPAGNE.png,80,BLUE_CHAMPAGNE,80_02_BLUE_CHAMPAGNE.png
both,exact,44,BLUE_INTERLUDE,44_04_BLUE_INTERLUDE.png,83,BLUE_INTERLUDE,83_01_BLUE_INTERLUDE.png
both,exact,45,BLUE_LOU,45_01_BLUE_LOU.png,83,BLUE_LOU,83_02_BLUE_LOU.png
both,exact,45,BLUE_MONK,45_02_BLUE_MONK.png,88,BLUE_MONK,88_01_BLUE_MONK.png
both,exact,45,BLUE_MOON,45_03_BLUE_MOON.png,88,BLUE_MOON,88_02_BLUE_MOON.png
both,exact,45,BLUE_N_BOOGIE,45_04_BLUE_N_BOOGIE.png,88,BLUE_N_BOOGIE,88_03_BLUE_N_BOOGIE.png
both,exact,45,BLUE_ORCHIDS,45_05_BLUE_ORCHIDS.png,84,BLUE_ORCHIDS,84_01_BLUE_ORCHIDS.png
both,exact,46,BLUE_PRELUDE,46_01_BLUE_PRELUDE.png,84,BLUE_PRELUDE,84_02_BLUE_PRELUDE.png
both,exact,46,BLUE_RIVER,46_02_BLUE_RIVER.png,85,BLUE_RIVER,85_01_BLUE_RIVER.png
both,exact,46,BLUE_ROOM,46_03_BLUE_ROOM.png,87,BLUE_ROOM,87_01_BLUE_ROOM.png
both,exact,47,BLUESETTE,47_01_BLUESETTE.png,87,BLUESETTE,87_02_BLUESETTE.png
both,exact,47,BLUES_IN_MY_HEART,47_02_BLUES_IN_MY_HEART.png,89,BLUES_IN_MY_HEART,89_01_BLUES_IN_MY_HEART.png
both,exact,47,BLUES_IN_THE_AIR,47_03_BLUES_IN_THE_AIR.png,89,BLUES_IN_THE_AIR,89_02_BLUES_IN_THE_AIR.png
both,exact,48,BLUES_IN_THE_CLOSET,48_01_BLUES_IN_THE_CLOSET.png,90,BLUES_IN_THE_CLOSET,90_01_BLUES_IN_THE_CLOSET.png
both,exact,48,BLUES_IN_THE_NIGHT,48_01_BLUES_IN_THE_NIGHT.png,91,BLUES_IN_THE_NIGHT,91_01_BLUES_IN_THE_NIGHT.png
both,exact,48,BLUE_SKIES,48_02_BLUE_SKIES.png,90,BLUE_SKIES,90_02_BLUE_SKIES.png
both,exact,48,BLUES_MARCH,48_03_BLUES_MARCH.png,92,BLUES_MARCH,92_01_BLUES_MARCH.png
both,fuzzy:1.00,49,BLUES_MY_NAUGHTY_SWEETIE,49_01_BLUES_MY_NAUGHTY_SWEETIE.png,92,BLUES_MY_NAUGHTY_SWEETIE_GIVES_TO_ME,92_02_BLUES_MY_NAUGHTY_SWEETIE_GIVES_TO_ME.png
both,exact,49,BLUE_TURNING_GREY_OVER_YOU,49_02_BLUE_TURNING_GREY_OVER_YOU.png,86,BLUE_TURNING_GREY_OVER_YOU,86_02_BLUE_TURNING_GREY_OVER_YOU.png
both,exact,49,BLUIN_THE_BLUES,49_03_BLUIN_THE_BLUES.png,95,BLUIN_THE_BLUES,95_01_BLUIN_THE_BLUES.png
both,exact,50,BLUESOLOGY,50_01_BLUESOLOGY.png,86,BLUESOLOGY,86_01_BLUESOLOGY.png
both,exact,50,BODY_AND_SOUL,50_01_BODY_AND_SOUL.png,96,BODY_AND_SOUL,96_01_BODY_AND_SOUL.png
both,exact,50,BOHEMIA_AFTER_DARK,50_03_BOHEMIA_AFTER_DARK.png,96,BOHEMIA_AFTER_DARK,96_02_BOHEMIA_AFTER_DARK.png
both,exact,51,BOUNCING_WITH_BUD,51_03_BOUNCING_WITH_BUD.png,97,BOUNCING_WITH_BUD,97_01_BOUNCING_WITH_BUD.png
both,exact,51,BOURBON_STREET_PARADE,51_04_BOURBON_STREET_PARADE.png,98,BOURBON_STREET_PARADE,98_01_BOURBON_STREET_PARADE.png
both,exact,52,BOY_NEXT_DOOR,52_01_BOY_NEXT_DOOR.png,98,THE_BOY_NEXT_DOOR,98_02_THE_BOY_NEXT_DOOR.png
both,exact,52,BREEZE_AND_I_THE,52_02_BREEZE_AND_I_THE.png,99,THE_BREEZE_AND_I,99_01_THE_BREEZE_AND_I.png
both,exact,52,BREEZIN_ALONG_WITH_THE_BREEZE,52_03_BREEZIN_ALONG_WITH_THE_BREEZE.png,99,BREEZIN_ALONG_WITH_THE_BREEZE,99_02_BREEZIN_ALONG_WITH_THE_BREEZE.png
both,exact,52,BROADWAY,52_04_BROADWAY.png,100,BROADWAY,100_01_BROADWAY.png
both,exact,53,BROTHER_CAN_YOU_SPARE_A_DIME,53_01_BROTHER_CAN_YOU_SPARE_A_DIME.png,100,BROTHER_CAN_YOU_SPARE_A_DIME,100_02_BROTHER_CAN_YOU_SPARE_A_DIME.png
both,exact,53,BROWN_SUGAR,53_02_BROWN_SUGAR.png,101,BROWN_SUGAR,101_01_BROWN_SUGAR.png
both,exact,53,BUDDY_BOLDEN_S_BLUES,53_04_BUDDY_BOLDEN_S_BLUES.png,101,BUDDY_BOLDENS_BLUES,101_02_BUDDY_BOLDENS_BLUES.png
both,exact,54,BUDDY_S_HABITS,54_01_BUDDY_S_HABITS.png,102,BUDDYS_HABITS,102_01_BUDDYS_HABITS.png
both,exact,54,BUDO,54_02_BUDO.png,103,BUDO,103_01_BUDO.png
both,exact,55,BUGLE_BOY_MARCH,55_01_BUGLE_BOY_MARCH.png,104,BUGLE_BOY_MARCH,104_01_BUGLE_BOY_MARCH.png
both,exact,55,BUGLE_CALL_RAG,55_02_BUGLE_CALL_RAG.png,103,BUGLE_CALL_RAG,103_02_BUGLE_CALL_RAG.png
both,exact,55,BUTTON_UP_YOUR_OVERCOAT,55_03_BUTTON_UP_YOUR_OVERCOAT.png,106,BUTTON_UP_YOUR_OVERCOAT,106_01_BUTTON_UP_YOUR_OVERCOAT.png
both,exact,56,BUT_BEAUTIFUL,56_01_BUT_BEAUTIFUL.png,105,BUT_BEAUTIFUL,105_01_BUT_BEAUTIFUL.png
both,exact,56,BUT_NOT_FOR_ME,56_02_BUT_NOT_FOR_ME.png,105,BUT_NOT_FOR_ME,105_02_BUT_NOT_FOR_ME.png
both,exact,56,BUZZY,56_03_BUZZY.png,106,BUZZY,106_02_BUZZY.png
both,exact,56,BYE_BYE_BLACKBIRD,56_04_BYE_BYE_BLACKBIRD.png,110,BYE_BYE_BLACKBIRD,110_01_BYE_BYE_BLACKBIRD.png
both,exact,57,BYE_AND_BYE,57_01_BYE_AND_BYE.png,106,BYE_AND_BYE,106_03_BYE_AND_BYE.png
both,exact,57,BYE_BYE_BLUES,57_02_BYE_BYE_BLUES.png,110,BYE_BYE_BLUES,110_02_BYE_BYE_BLUES.png
both,exact,57,BY_THE_BEAUTIFUL_SEA,57_03_BY_THE_BEAUTIFUL_SEA.png,107,BY_THE_BEAUTIFUL_SEA,107_01_BY_THE_BEAUTIFUL_SEA.png
both,exact,57,BY_THE_LIGHT_OF_THE_SILVERY_MOON,57_04_BY_THE_LIGHT_OF_THE_SILVERY_MOON.png,108,BY_THE_LIGHT_OF_THE_SILVERY_MOON,108_01_BY_THE_LIGHT_OF_THE_SILVERY_MOON.png
